Ref,Val,Package,PosX,PosY,Rot,Side
"JP14","USB_SOLDER_PADS","USB-SOLDER-PADS",-148.501100,-90.144600,90.000000,bottom
"TP1","TEST-POINT3X5","PAD.03X.05",-147.231100,-115.163600,180.000000,bottom
"TP2","TEST-POINT3X5","PAD.03X.05",-149.771100,-115.163600,180.000000,bottom
"U$3","OSHW-LOGOMINI","OSHW-LOGO-MINI",-141.135100,-90.017600,180.000000,bottom
"C6","1.0uF","0402-TIGHT",151.041100,-96.494600,180.000000,top
"C7","10uF","0402-TIGHT",151.041100,-97.383600,180.000000,top
"C8","10uF","0402-TIGHT",151.041100,-98.272600,180.000000,top
"C9","0.1uF","0402-TIGHT",143.548100,-110.337600,90.000000,top
"C11","15pF","0402-TIGHT",145.707100,-116.306600,180.000000,top
"C12","0.1uF","0402-TIGHT",147.485100,-114.909600,180.000000,top
"C13","15pF","0402-TIGHT",145.707100,-114.528600,180.000000,top
"C14","0.1uF","0402-TIGHT",152.184100,-105.003600,90.000000,top
"C15","0.1uF","0402-TIGHT",152.692100,-115.163600,270.000000,top
"C16","0.1uF","0402-TIGHT",143.548100,-106.908600,90.000000,top
"C17","0.1uF","0402-TIGHT",152.946100,-105.003600,90.000000,top
"C18","0.1uF","0402-TIGHT",149.517100,-114.909600,0.000000,top
"C19","0.1uF","0402-TIGHT",146.469100,-105.384600,180.000000,top
"C20","2.2uF","0402-TIGHT",150.533100,-105.384600,0.000000,top
"C21","2.2uF","0402-TIGHT",148.501100,-105.384600,0.000000,top
"C22","2.2uF","0402-TIGHT",152.184100,-103.225600,270.000000,top
"C23","2.2uF","0402-TIGHT",152.184100,-99.542600,90.000000,top
"C29","0.1uF","0402-TIGHT",152.184100,-101.320600,270.000000,top
"D2","3A/10V/280mV","SOD-323",146.215100,-97.383600,270.000000,top
"F1","6V 0.5A","0805",144.691100,-97.383600,270.000000,top
"LED1","RED","LED-0603",141.516100,-90.271600,0.000000,top
"R1","5.1k","0402-TIGHT",143.675100,-91.668600,270.000000,top
"R2","10k","0402-TIGHT",151.295100,-116.306600,0.000000,top
"R3","5.1k","0402-TIGHT",153.327100,-91.668600,270.000000,top
"R5","2.2k","0402-TIGHT",151.295100,-114.528600,0.000000,top
"R7","2.2k","0402-TIGHT",151.295100,-115.417600,0.000000,top
"R10","1k","0402-TIGHT",145.707100,-115.417600,0.000000,top
"R11","1k","0402-TIGHT",143.548100,-97.383600,270.000000,top
"R12","27","0402-TIGHT",153.581100,-96.113600,270.000000,top
"R13","27","0402-TIGHT",152.311100,-96.113600,270.000000,top
"R14","200","0402-TIGHT",152.946100,-103.225600,270.000000,top
"R15","1k","0402-TIGHT",143.548100,-101.955600,270.000000,top
"R16","10k","0402-TIGHT",143.548100,-99.923600,90.000000,top
"S1","Reset","TACTILE_SWITCH_SMD_4.6X2.8MM",152.400000,-119.380000,180.000000,top
"S2","Boot","TACTILE_SWITCH_SMD_4.6X2.8MM",146.050000,-119.380000,180.000000,top
"U1","3.3V","SOT23-5",148.501100,-97.383600,180.000000,top
"U2","RP2040","QFN-56",148.501100,-110.083600,0.000000,top
"U4","W25QXX128MBIT","WSON-8-6X5-SKINNY_CENTERPAD",148.501100,-102.209600,0.000000,top
"Y1","12MHz","CRYSTAL-SMD-2X2.5MM",143.294100,-114.655600,180.000000,top
